total_events_h12,event_type_diversity_h12,unique_repos_h12,last_active_minute_h12,first_active_minute_h12,activity_duration_h12,push_count_h12,pr_count_h12,minutes_since_last_action_h12,is_active_next_hour,total_events_h12_capped,unique_repos_h12_capped,events_per_repo,diversity_score,log_total_events,is_bot_suspect
1,1,1,49,49,0.0,1.0,0.0,11,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,51,33,12.727922061357855,2.0,0.0,9,0,2,1,1.0,0.5,1.0986122886681098,0
3,2,2,18,13,2.6457513110645907,2.0,0.0,42,0,3,2,1.0,0.6666666666666666,1.3862943611198906,0
1,1,1,9,9,0.0,1.0,0.0,51,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,2,2,0.0,1.0,0.0,58,1,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,58,58,0.0,1.0,0.0,2,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,37,34,2.1213203435596424,2.0,0.0,23,1,2,1,1.0,0.5,1.0986122886681098,0
3,1,1,56,1,28.04163571073081,3.0,0.0,4,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
2,1,1,51,44,4.949747468305833,2.0,0.0,9,0,2,1,1.0,0.5,1.0986122886681098,0
1,1,1,38,38,0.0,0.0,0.0,22,0,1,1,0.5,1.0,0.6931471805599453,0
3,1,1,38,22,8.18535277187245,3.0,0.0,22,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
1,1,1,55,55,0.0,1.0,0.0,5,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,2,2,0.0,1.0,0.0,58,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,50,50,0.0,0.0,0.0,10,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,36,36,0.0,1.0,0.0,24,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,44,44,0.0,0.0,0.0,16,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,57,57,0.0,0.0,0.0,3,0,1,1,0.5,1.0,0.6931471805599453,0
5,1,1,58,4,23.194827009486403,5.0,0.0,2,1,5,1,2.5,0.2,1.791759469228055,0
1,1,1,33,33,0.0,1.0,0.0,27,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,52,52,0.0,0.0,0.0,8,0,1,1,0.5,1.0,0.6931471805599453,0
3,1,1,55,17,19.0,3.0,0.0,5,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
2,1,1,54,36,12.727922061357855,2.0,0.0,6,0,2,1,1.0,0.5,1.0986122886681098,0
4,2,2,59,21,17.99073835801818,2.0,0.0,1,1,4,2,1.3333333333333333,0.5,1.6094379124341003,0
3,3,1,24,22,1.0,1.0,1.0,36,1,3,1,1.5,1.0,1.3862943611198906,0
1,1,1,14,14,0.0,1.0,0.0,46,0,1,1,0.5,1.0,0.6931471805599453,0
3,2,1,42,14,16.165807537309522,1.0,0.0,18,0,3,1,1.5,0.6666666666666666,1.3862943611198906,0
1,1,1,57,57,0.0,0.0,0.0,3,0,1,1,0.5,1.0,0.6931471805599453,0
3,1,3,0,0,0.0,3.0,0.0,60,1,3,3,0.75,0.3333333333333333,1.3862943611198906,0
2,1,1,52,15,26.16295090390226,2.0,0.0,8,0,2,1,1.0,0.5,1.0986122886681098,0
3,2,3,59,56,1.5275252316519474,0.0,0.0,1,0,3,3,0.75,0.6666666666666666,1.3862943611198906,0
6,2,1,56,11,20.676073128135332,0.0,0.0,4,1,6,1,3.0,0.3333333333333333,1.9459101490553132,0
4,2,1,6,0,3.2015621187164243,2.0,2.0,54,0,4,1,2.0,0.5,1.6094379124341003,0
1,1,1,51,51,0.0,0.0,0.0,9,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,13,13,0.0,0.0,0.0,47,1,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,5,5,0.0,1.0,0.0,55,0,1,1,0.5,1.0,0.6931471805599453,0
9,5,1,58,47,2.9767618499152935,1.0,3.0,2,1,9,1,4.5,0.5555555555555556,2.302585092994046,0
1,1,1,31,31,0.0,1.0,0.0,29,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,53,53,0.0,1.0,0.0,7,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,32,32,0.0,1.0,0.0,28,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,31,22,6.363961030678928,2.0,0.0,29,0,2,1,1.0,0.5,1.0986122886681098,0
5,1,1,56,7,18.87591057406238,5.0,0.0,4,1,5,1,2.5,0.2,1.791759469228055,0
5,1,2,53,47,2.6076809620810604,5.0,0.0,7,0,5,2,1.6666666666666667,0.2,1.791759469228055,0
1,1,1,56,56,0.0,1.0,0.0,4,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,14,14,0.0,0.0,0.0,46,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,2,56,30,18.384776310850235,0.0,0.0,4,0,2,2,0.6666666666666666,0.5,1.0986122886681098,0
1,1,1,16,16,0.0,1.0,0.0,44,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,20,20,0.0,1.0,0.0,40,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,48,48,0.0,1.0,0.0,12,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,51,51,0.0,1.0,0.0,9,0,1,1,0.5,1.0,0.6931471805599453,0
4,1,1,55,0,23.89386253134195,4.0,0.0,5,0,4,1,2.0,0.25,1.6094379124341003,0
1,1,1,48,48,0.0,1.0,0.0,12,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,49,49,0.0,0.0,0.0,11,0,2,1,1.0,0.5,1.0986122886681098,0
4,1,1,56,1,23.89386253134195,4.0,0.0,4,0,4,1,2.0,0.25,1.6094379124341003,0
4,2,3,44,28,7.544313531837517,0.0,0.0,16,1,4,3,1.0,0.5,1.6094379124341003,0
1,1,1,42,42,0.0,0.0,0.0,18,1,1,1,0.5,1.0,0.6931471805599453,0
2,1,2,58,50,5.656854249492381,2.0,0.0,2,0,2,2,0.6666666666666666,0.5,1.0986122886681098,0
2,1,1,26,25,0.7071067811865476,2.0,0.0,34,0,2,1,1.0,0.5,1.0986122886681098,0
3,1,1,53,15,19.008769905844336,3.0,0.0,7,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
2,1,1,1,0,0.7071067811865476,2.0,0.0,59,0,2,1,1.0,0.5,1.0986122886681098,0
1,1,1,15,15,0.0,1.0,0.0,45,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,47,47,0.0,1.0,0.0,13,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,13,13,0.0,0.0,0.0,47,0,1,1,0.5,1.0,0.6931471805599453,0
3,2,1,34,4,17.320508075688775,2.0,0.0,26,0,3,1,1.5,0.6666666666666666,1.3862943611198906,0
6,1,1,32,30,0.8944271909999159,6.0,0.0,28,0,6,1,3.0,0.16666666666666666,1.9459101490553132,0
2,1,1,23,23,0.0,0.0,0.0,37,0,2,1,1.0,0.5,1.0986122886681098,0
1,1,1,52,52,0.0,0.0,0.0,8,0,1,1,0.5,1.0,0.6931471805599453,0
170,1,3,53,10,15.57564209022532,170.0,0.0,7,1,45,3,11.25,0.022222222222222223,3.828641396489095,0
1,1,1,27,27,0.0,0.0,0.0,33,0,1,1,0.5,1.0,0.6931471805599453,0
4,1,2,58,28,15.0,0.0,0.0,2,1,4,2,1.3333333333333333,0.25,1.6094379124341003,0
2,1,1,57,50,4.949747468305833,2.0,0.0,3,1,2,1,1.0,0.5,1.0986122886681098,0
3,1,1,54,16,19.008769905844336,3.0,0.0,6,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
1,1,1,5,5,0.0,0.0,0.0,55,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,3,3,0.0,1.0,0.0,57,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,8,8,0.0,1.0,0.0,52,0,1,1,0.5,1.0,0.6931471805599453,0
9,4,1,54,52,0.7071067811865474,3.0,2.0,6,1,9,1,4.5,0.4444444444444444,2.302585092994046,0
2,1,1,10,0,7.0710678118654755,2.0,0.0,50,1,2,1,1.0,0.5,1.0986122886681098,0
3,1,1,37,0,18.520259177452136,3.0,0.0,23,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
1,1,1,0,0,0.0,1.0,0.0,60,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,15,15,0.0,1.0,0.0,45,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,6,6,0.0,1.0,0.0,54,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,40,37,2.1213203435596424,0.0,0.0,20,1,2,1,1.0,0.5,1.0986122886681098,0
7,2,2,48,6,16.428778466604324,6.0,0.0,12,0,7,2,2.3333333333333335,0.2857142857142857,2.0794415416798357,0
1,1,1,58,58,0.0,1.0,0.0,2,1,1,1,0.5,1.0,0.6931471805599453,0
5,2,2,57,28,15.883954167649817,1.0,0.0,3,0,5,2,1.6666666666666667,0.4,1.791759469228055,0
2,1,2,58,57,0.7071067811865476,0.0,0.0,2,1,2,2,0.6666666666666666,0.5,1.0986122886681098,0
3,1,1,47,3,22.60530911091463,3.0,0.0,13,1,3,1,1.5,0.3333333333333333,1.3862943611198906,0
2,1,2,53,50,2.1213203435596424,0.0,0.0,7,0,2,2,0.6666666666666666,0.5,1.0986122886681098,0
2,2,1,45,35,7.0710678118654755,1.0,0.0,15,0,2,1,1.0,1.0,1.0986122886681098,0
